lat,lng,pano_id
30.71131375446979,76.80056971925278,6YbSOJYq_bGE0E83-JFA2A
30.71138386689704,76.80060563222104,ZhFIQ0X2ExZk-QZedpEOHw
30.71139495991763,76.80048583426455,zXNDa-3To6LUVVwCusNXAg
30.71145058697156,76.80052914110708,Eg2I2AlO8wExryXAspOx7g
30.71146318943756,76.80041480044757,aJ3d9gnlmlhi8-FXeSKYCw
30.7115178371962,76.80045863544721,H7p-OlZgxuYu9xDtAWrmwg
30.71153097903614,76.80034535098882,8h66zVx2-2r22a89uSXHIw
30.71158385401806,76.80039288294195,hlkMNdzwvxFIRVw-FpqAPw
30.71159893638873,76.80027167642567,ovK5CZxZjrSdm2vF9UuDRw
30.71164948488693,76.80017617229744,nAtBa2thJoQ9-rsXqgCZ0Q
30.71165132610035,76.80032536995868,zirdlT7xJGp6P9tEVD06xA
30.71167702668198,76.80018682299188,wKx3qf3naYu4Y5XikAULmw
30.71171184717858,76.80011341240191,aeT_YOkq3uXia2C7RpsaSg
30.71172531768683,76.80025090318372,pEF-RiHaXLJ1X2nZiKl9ZA
30.71174931801396,76.80011173997791,oaFMozMYUICSyi_kmfoBOQ
30.71179535946571,76.80002935106174,rqVJT3Av_-OniWgOa17WwA
30.71179551878575,76.80018479847978,Ur-s7XxlTuYCPWguC9OWfg
30.71186519776414,76.79995805291725,pDYo3dtO2RO7ZvezHo3dVA
30.71186962789694,76.80011482075896,PAaxUN-Pb2mgOrONrCb7ZQ
30.71192872947929,76.79989326839501,0qxJ4S1ylEGVD-LpvgPKrw
30.71193241154806,76.80005531765978,UtD9g42NdoRMaq3pzJ8czw
30.7119604077968,76.80001852430908,0xlF7ipRGLwNgvxsZ386dQ
30.71198943659148,76.79983033231197,GuwskqMvzzvD7b3RtljTxA
30.71201383347141,76.79997521728909,kNKaz_5TcT3HJ1BgWmAbpQ
30.71201803031837,76.7998327969424,ggHpfgFMc7cUq8hyCTp28g
30.71207385506857,76.7997467108937,YElERqGvmtlNXt6JaryJaQ
30.71208136840206,76.79990664780998,8TudEPSz5Ek-7te1r9_seA
30.71214449988553,76.79967655688161,kVQ3_waNamSyf4OjC7PX5A
